topic,name,full_name,url,stars,description,owner,language,last_updated,license,repo_type
machine-learning,start-machine-learning,louisfb01/start-machine-learning,https://github.com/louisfb01/start-machine-learning,5249,"A complete guide to start and improve in machine learning (ML), artificial intelligence (AI) in 2026 without ANY background in the field and",louisfb01,,2026-01,MIT,tutorial
machine-learning,have-fun-with-machine-learning,humphd/have-fun-with-machine-learning,https://github.com/humphd/have-fun-with-machine-learning,5114,An absolute beginner's guide to Machine Learning and Image Classification with Neural Networks,humphd,Python,2021-12,NOASSERTION,tutorial
machine-learning,MachineLearningStocks,robertmartin8/MachineLearningStocks,https://github.com/robertmartin8/MachineLearningStocks,1947,Using python and scikit-learn to make stock predictions,robertmartin8,Python,2024-06,MIT,tutorial
machine-learning,hand_detection,molyswu/hand_detection,https://github.com/molyswu/hand_detection,275,using Neural Networks (SSD) on Tensorflow.  This repo documents steps and scripts used to train a hand detector using Tensorflow (Object Det,molyswu,Python,2022-01,,dataset
machine-learning,redesigned-pancake,Sfedfcv/redesigned-pancake,https://github.com/Sfedfcv/redesigned-pancake,231,Skip to content github / docs Code Issues 80 Pull requests 35 Discussions Actions Projects 2 Security Insights Merge branch 'main' into 1862,Sfedfcv,,2021-05,,research
machine-learning,Awesome-AI,VidyasagarMSC/Awesome-AI,https://github.com/VidyasagarMSC/Awesome-AI,153,The guide to master Artificial Intelligence (machine learning & deep learning) from beginner to advance,VidyasagarMSC,,2024-03,MIT,awesome-list
machine-learning,torrents,swati1024/torrents,https://github.com/swati1024/torrents,102,"Skip to content   Search… All gists Back to GitHub Sign in Sign up Instantly share code, notes, and snippets.  @giansalex giansalex/torrent-",swati1024,,2020-02,,tutorial
deep-learning,free-ai-resources,JohnMwendwa/free-ai-resources,https://github.com/JohnMwendwa/free-ai-resources,140,"A curated collection of free, high-quality resources for learning about AI, including ML, deep learning, generative AI, natural language pro",JohnMwendwa,,2025-05,MIT,tutorial
deep-learning,blast-ON,BabyJ723/blast-ON,https://github.com/BabyJ723/blast-ON,43,# Awesome Keycloak [![Awesome](https://cdn.rawgit.com/sindresorhus/awesome/d7305f38d29fed78fa85652e3a63e154dd8e8829/media/badge.svg)](https:,BabyJ723,,2021-09,BSL-1.0,awesome-list
deep-learning,Hackers-Guide-to-Deep-Learning,curiousily/Hackers-Guide-to-Deep-Learning,https://github.com/curiousily/Hackers-Guide-to-Deep-Learning,29,Tutorials on how to engineer Machine Learning projects using Deep Neural Networks with PyTorch and Python,curiousily,Jupyter Notebook,2020-12,,tutorial
deep-learning,deep_rl_pong_keras,thinkingparticle/deep_rl_pong_keras,https://github.com/thinkingparticle/deep_rl_pong_keras,22,Deep Reinforcement Learning Policy Gradients Method - Pong game - Keras,thinkingparticle,Jupyter Notebook,2018-06,GPL-3.0,tutorial
deep-learning,python-AIBooks,pramit-marattha/python-AIBooks,https://github.com/pramit-marattha/python-AIBooks,12,"Find all the book s related to Python , Artificial Intelligence , Machine Learning ,Deep Learning and Data Science.(python materials =>Pytho",pramit-marattha,,2020-04,,tutorial
deep-learning,deepTF-tutorial,nicoprocessor/deepTF-tutorial,https://github.com/nicoprocessor/deepTF-tutorial,7,"Collection of examples and data from ""The Complete guide to TensorFlow for Deep Learning with Python"" by Jose Portilla",nicoprocessor,Jupyter Notebook,2017-12,,tutorial
deep-learning,Deep-Learning-for-Image-Classification,Malikanhar/Deep-Learning-for-Image-Classification,https://github.com/Malikanhar/Deep-Learning-for-Image-Classification,7,"Are you interested in image classification? But haven't used deep learning before? Through this tutorial, I will guide you (step by step) to",Malikanhar,Jupyter Notebook,2020-05,,dataset
neural-networks,IntroNeuralNetworks,VivekPa/IntroNeuralNetworks,https://github.com/VivekPa/IntroNeuralNetworks,772,Introducing neural networks to predict stock prices,VivekPa,Python,2019-08,MIT,tutorial
neural-networks,Capsulepaper,CAPRDZV/Capsulepaper,https://github.com/CAPRDZV/Capsulepaper,20,"论文 Hinton等的论文  Matrix capsules with EM routing - Hinton, G. E., Sabour, S. and Frosst, N. (2018) Dynamic Routing Between Capsules - Sabour, ",CAPRDZV,,2021-08,Apache-2.0,awesome-list
neural-networks,micrograduate,ckaraneen/micrograduate,https://github.com/ckaraneen/micrograduate,14,📖 A self-contained course to learn the basics of neural networks: from backprop to GPT! 🌻,ckaraneen,Jupyter Notebook,2026-01,MIT,tutorial
neural-networks,elk-audio-AI-tutorial,domenicostefani/elk-audio-AI-tutorial,https://github.com/domenicostefani/elk-audio-AI-tutorial,6,"Guide to deploying neural networks in VST plugins, with a specific focus on embedded devices using the Elk Audio OS",domenicostefani,Jupyter Notebook,2023-09,GPL-3.0,tutorial
supervised-learning,all-classification-templetes-for-ML,sayantann11/all-classification-templetes-for-ML,https://github.com/sayantann11/all-classification-templetes-for-ML,294,Classification - Machine Learning This is ‘Classification’ tutorial which is a part of the Machine Learning course offered by Simplilearn. W,sayantann11,Python,2024-05,,dataset
supervised-learning,Supervised_Learning_Tutorial,marixko/Supervised_Learning_Tutorial,https://github.com/marixko/Supervised_Learning_Tutorial,11,"Star/Galaxy classification tutorial (presented at the Department of Astronomy, University of Florida, 2018)",marixko,Jupyter Notebook,2019-04,MIT,tutorial
supervised-learning,DataMiningTutorial,mkhazaeidev/DataMiningTutorial,https://github.com/mkhazaeidev/DataMiningTutorial,11,"Learn Data Mining from the ground up. This repository contains code, examples, and resources for mastering both Supervised (Classification, ",mkhazaeidev,Jupyter Notebook,2025-11,,tutorial
unsupervised-learning,Machine-Learning-Stanford-Andrew-Ng,Ashleshk/Machine-Learning-Stanford-Andrew-Ng,https://github.com/Ashleshk/Machine-Learning-Stanford-Andrew-Ng,33,# Machine Learning (Coursera) This is my solution to all the programming assignments and quizzes of Machine-Learning (Coursera) taught by An,Ashleshk,MATLAB,2020-05,MIT,tutorial
reinforcement-learning,AirSim-UAV-Reinforcement-Learning,SBrewer15/AirSim-UAV-Reinforcement-Learning,https://github.com/SBrewer15/AirSim-UAV-Reinforcement-Learning,7,Airsim Reinforcement Learning Control System  Airsim install tutorial: https://github.com/JacopoPan/a-minimalist-guide/blob/master/Part3-Usi,SBrewer15,Jupyter Notebook,2023-03,GPL-3.0,tutorial
transfer-learning,Pytorch_fine_tuning_Tutorial,Spandan-Madan/Pytorch_fine_tuning_Tutorial,https://github.com/Spandan-Madan/Pytorch_fine_tuning_Tutorial,289,A short tutorial on performing fine tuning or transfer learning in PyTorch.,Spandan-Madan,Python,2018-09,,tutorial
transfer-learning,Image-classification-PyTorch-MLflow,arnabdeypolimi/Image-classification-PyTorch-MLflow,https://github.com/arnabdeypolimi/Image-classification-PyTorch-MLflow,16,Image classification using Transfer learning technique. Updated and added mlflow with PyTorch fine-tune tutorial,arnabdeypolimi,Jupyter Notebook,2020-08,,tutorial
transfer-learning,LLM-and-Generative-Models-Community,StarLight1212/LLM-and-Generative-Models-Community,https://github.com/StarLight1212/LLM-and-Generative-Models-Community,14,"AI Community Tutorial, including: LoRA/Qlora LLM fine-tuning, Training GPT-2 from scratch, Generative Model Architecture, Content safety and",StarLight1212,Jupyter Notebook,2024-12,Apache-2.0,tutorial
transfer-learning,Bert_fine_tuning_Sentence_classification,Prajwalbhandary17/Bert_fine_tuning_Sentence_classification,https://github.com/Prajwalbhandary17/Bert_fine_tuning_Sentence_classification,9,In this tutorial I'll show you how to use BERT with the huggingface PyTorch library to quickly and efficiently fine-tune a model to get near,Prajwalbhandary17,Jupyter Notebook,2020-08,,tutorial
transfer-learning,ktrain-tutorial,bhattbhavesh91/ktrain-tutorial,https://github.com/bhattbhavesh91/ktrain-tutorial,5,Fine-tuning a BERT model using Ktrain | Transfer Learning NLP | Fine Tune Bert For Text Classification,bhattbhavesh91,Jupyter Notebook,2022-02,Apache-2.0,tutorial
feature-engineering,big-o-performance-java,rramatchandran/big-o-performance-java,https://github.com/rramatchandran/big-o-performance-java,81,# big-o-performance A simple html app to demonstrate performance costs of data structures.  - Clone the project - Navigate to the root of th,rramatchandran,JavaScript,2023-01,MIT,tutorial
model-evaluation,How-to-build-an-AI-product,mmTheBest/How-to-build-an-AI-product,https://github.com/mmTheBest/How-to-build-an-AI-product,100," A practical guide to building AI products end-to-end. You'll learn how to choose models based on product constraints, decide when fine-tuni",mmTheBest,HTML,2026-04,,tutorial
pytorch,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,66680,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback,",labmlai,Python,2026-01,MIT,research
pytorch,DeepLearning,Mikoto10032/DeepLearning,https://github.com/Mikoto10032/DeepLearning,17471,"深度学习入门教程, 优秀文章, Deep Learning Tutorial",Mikoto10032,Jupyter Notebook,2022-04,Apache-2.0,tutorial
pytorch,DeepLearningZeroToAll,hunkim/DeepLearningZeroToAll,https://github.com/hunkim/DeepLearningZeroToAll,4498,TensorFlow Basic Tutorial Labs,hunkim,Jupyter Notebook,2023-10,,tutorial
pytorch,Deep-Learning-in-Production,ahkarami/Deep-Learning-in-Production,https://github.com/ahkarami/Deep-Learning-in-Production,4379,"In this repository, I will share some useful notes and references about deploying deep learning-based models in production.",ahkarami,,2024-11,,tutorial
pytorch,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3991,A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Lea,TarrySingh,Python,2025-03,NOASSERTION,tutorial
pytorch,Deep-Learning-with-PyTorch-Tutorials,dragen1860/Deep-Learning-with-PyTorch-Tutorials,https://github.com/dragen1860/Deep-Learning-with-PyTorch-Tutorials,3108,深度学习与PyTorch入门实战视频教程 配套源代码和PPT,dragen1860,Python,2019-11,,tutorial
pytorch,DeepLearningForNLPInPytorch,rguthrie3/DeepLearningForNLPInPytorch,https://github.com/rguthrie3/DeepLearningForNLPInPytorch,1953,"An IPython Notebook tutorial on deep learning for natural language processing, including structure prediction.",rguthrie3,Jupyter Notebook,2023-01,MIT,tutorial
tensorflow,mit-deep-learning,lexfridman/mit-deep-learning,https://github.com/lexfridman/mit-deep-learning,10440,"Tutorials, assignments, and competitions for MIT Deep Learning related courses.",lexfridman,Jupyter Notebook,2024-01,MIT,tutorial
tensorflow,Reinforcement-learning-with-tensorflow,MorvanZhou/Reinforcement-learning-with-tensorflow,https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow,9453,"Simple Reinforcement learning tutorials, 莫烦Python 中文AI教学",MorvanZhou,Python,2024-03,MIT,tutorial
tensorflow,projectlearn-project-based-learning,Xtremilicious/projectlearn-project-based-learning,https://github.com/Xtremilicious/projectlearn-project-based-learning,5852,A curated list of project tutorials for project-based learning.,Xtremilicious,TypeScript,2026-05,MIT,tutorial
tensorflow,deep-learning-keras-tensorflow,leriomaggio/deep-learning-keras-tensorflow,https://github.com/leriomaggio/deep-learning-keras-tensorflow,2973,Introduction to Deep Neural Networks with Keras and Tensorflow,leriomaggio,Jupyter Notebook,2023-07,MIT,tutorial
tensorflow,TensorFlow-and-DeepLearning-Tutorial,CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial,https://github.com/CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial,2303,A TensorFlow & Deep Learning online course I taught in 2016,CreatCodeBuild,Python,2020-03,,tutorial
tensorflow,DeepLearning_tutorials,xiaohu2015/DeepLearning_tutorials,https://github.com/xiaohu2015/DeepLearning_tutorials,1840,The deeplearning algorithms implemented by tensorflow,xiaohu2015,Jupyter Notebook,2019-02,,tutorial
tensorflow,Deep-Learning-For-Hackers,curiousily/Deep-Learning-For-Hackers,https://github.com/curiousily/Deep-Learning-For-Hackers,1075,"Machine Learning tutorials with TensorFlow 2 and Keras in Python (Jupyter notebooks included) - (LSTMs, Hyperameter tuning, Data preprocessi",curiousily,Jupyter Notebook,2020-04,MIT,tutorial
keras,deep-learning-keras-tf-tutorial,codebasics/deep-learning-keras-tf-tutorial,https://github.com/codebasics/deep-learning-keras-tf-tutorial,984,"Learn deep learning with tensorflow2.0, keras and python through this comprehensive deep learning tutorial series. Learn deep learning from ",codebasics,Jupyter Notebook,2024-06,,tutorial
keras,Machine_Learning_Tutorials,maelfabien/Machine_Learning_Tutorials,https://github.com/maelfabien/Machine_Learning_Tutorials,792,"Code, exercises and tutorials of my personal blog ! 📝",maelfabien,Jupyter Notebook,2020-02,,tutorial
keras,deep_learning,vict0rsch/deep_learning,https://github.com/vict0rsch/deep_learning,425,Deep Learning Resources and Tutorials using Keras and Lasagne,vict0rsch,Python,2020-08,GPL-2.0,tutorial
keras,Easy-deep-learning-with-Keras,buomsoo-kim/Easy-deep-learning-with-Keras,https://github.com/buomsoo-kim/Easy-deep-learning-with-Keras,406,Keras tutorial for beginners (using TF backend),buomsoo-kim,Jupyter Notebook,2020-11,,tutorial
keras,Recommendation-systems,piyushpathak03/Recommendation-systems,https://github.com/piyushpathak03/Recommendation-systems,215,Recommendation Systems This is a workshop on using Machine Learning and Deep Learning Techniques to build Recommendation Systesm  Theory: ML,piyushpathak03,Jupyter Notebook,2024-07,GPL-3.0,dataset
keras,Deep-Learning-Based-ECG-Annotator,niekverw/Deep-Learning-Based-ECG-Annotator,https://github.com/niekverw/Deep-Learning-Based-ECG-Annotator,145,"Annotation of ECG signals using deep learning, tensorflow’ Keras",niekverw,Python,2020-01,,tutorial
keras,deep_learning_for_biologists_with_keras,totti0223/deep_learning_for_biologists_with_keras,https://github.com/totti0223/deep_learning_for_biologists_with_keras,106,tutorials made for biologists to learn deep learning,totti0223,Jupyter Notebook,2019-05,,tutorial
scikit-learn,leetcode-intensive,kevinchwong/leetcode-intensive,https://github.com/kevinchwong/leetcode-intensive,113,"Leetcode Intensive tutorial and study guide generated by llama-index, networkx, scikit-learn and pydantic",kevinchwong,,2023-12,Apache-2.0,tutorial
scikit-learn,Complete-Machine-Learning-With-Real-World-Deployment,rohanmistry231/Complete-Machine-Learning-With-Real-World-Deployment,https://github.com/rohanmistry231/Complete-Machine-Learning-With-Real-World-Deployment,31,"A comprehensive guide to machine learning with Python, covering algorithms, model training, and real-world deployment using frameworks like ",rohanmistry231,Jupyter Notebook,2025-05,MIT,dataset
scikit-learn,K-Nearest-Neighbors-Tutorial,NhanPhamThanh-IT/K-Nearest-Neighbors-Tutorial,https://github.com/NhanPhamThanh-IT/K-Nearest-Neighbors-Tutorial,16,"📘 This repository offers a complete K-Nearest Neighbors (KNN) tutorial, guiding you from core theory to hands-on practice. Learn to implemen",NhanPhamThanh-IT,Jupyter Notebook,2025-08,MIT,dataset
scikit-learn,sklearn-free-tutorials,labex-labs/sklearn-free-tutorials,https://github.com/labex-labs/sklearn-free-tutorials,6,Free scikit-learn tutorials for beginners with 7 interactive lessons. Easy-to-follow programming guides with hands-on practice exercises.,labex-labs,,2025-10,,awesome-list
huggingface-transformers,LLM-PowerHouse-A-Curated-Guide-for-Large-Language-Models-with-Custom-Training-and-Inferencing,ghimiresunil/LLM-PowerHouse-A-Curated-Guide-for-Large-Language-Models-with-Custom-Training-and-Inferencing,https://github.com/ghimiresunil/LLM-PowerHouse-A-Curated-Guide-for-Large-Language-Models-with-Custom-Training-and-Inferencing,730,"LLM-PowerHouse: Unleash LLMs' potential through curated tutorials, best practices, and ready-to-use code for custom training and inferencing",ghimiresunil,Jupyter Notebook,2026-03,MIT,tutorial
langchain,AgentGuide,adongwanai/AgentGuide,https://github.com/adongwanai/AgentGuide,4729,https://adongwanai.github.io/AgentGuide | AI Agent开发指南 | LangGraph实战 | 高级RAG | 转行大模型 | 大模型面试 | 算法工程师 | 面试题库 | 强化学习｜数据合成,adongwanai,HTML,2026-04,,tutorial
langchain,dive-into-langgraph,luochang212/dive-into-langgraph,https://github.com/luochang212/dive-into-langgraph,395,LangGraph 1.0 Tutorial,luochang212,Jupyter Notebook,2026-05,NOASSERTION,tutorial
langchain,langchain-decoded,alphasecio/langchain-decoded,https://github.com/alphasecio/langchain-decoded,143,"A companion guide for the blog post series, LangChain Decoded. ",alphasecio,Jupyter Notebook,2024-07,MIT,tutorial
langchain,LangGraph-Mastery-Playbook,leslieo2/LangGraph-Mastery-Playbook,https://github.com/leslieo2/LangGraph-Mastery-Playbook,50,"LangGraph Mastery Playbook: guided, code-first lessons for building memory-aware LLM agents and workflows with LangGraph, TrustCall, and Lan",leslieo2,Python,2025-11,,tutorial
langchain,LangChain-Tutorials,TirendazAcademy/LangChain-Tutorials,https://github.com/TirendazAcademy/LangChain-Tutorials,41,Practical step-by-step LangChain guides,TirendazAcademy,Jupyter Notebook,2025-04,,tutorial
langchain,ai-learning,princepal9120/ai-learning,https://github.com/princepal9120/ai-learning,23,"AI Learning: A comprehensive repository for Artificial Intelligence and Machine Learning resources, primarily using Jupyter Notebooks and Py",princepal9120,Jupyter Notebook,2026-04,,tutorial
langchain,Agentic-AI-Tutorial,zkzkGamal/Agentic-AI-Tutorial,https://github.com/zkzkGamal/Agentic-AI-Tutorial,17,Welcome to the Agentic AI Tutorial! This repository provides a step-by-step guide to creating agentic AI systems—intelligent agents that can,zkzkGamal,Jupyter Notebook,2026-05,,tutorial
nlp,Writing-Portfolio,kingabzpro/Writing-Portfolio,https://github.com/kingabzpro/Writing-Portfolio,14,"Abid's writing portfolio is a collection of blogs, tutorials, cheat sheets, guides, projects, and books covering data analytics, machine lea",kingabzpro,Astro,2026-05,MIT,tutorial
nlp,NLP,usmanyousaaf/NLP,https://github.com/usmanyousaaf/NLP,10,This repository provides a comprehensive guide to natural language processing. Whether you're a beginner looking to gain a solid understandi,usmanyousaaf,Jupyter Notebook,2024-04,,research
nlp,AI-Beginners-Guide,bcExpt1123/AI-Beginners-Guide,https://github.com/bcExpt1123/AI-Beginners-Guide,7,"A comprehensive resource for beginners in AI, featuring curated documentation, tutorials, and sample projects across fields like computer vi",bcExpt1123,,2025-06,,tutorial
text-classification,a-PyTorch-Tutorial-to-Text-Classification,sgrvinod/a-PyTorch-Tutorial-to-Text-Classification,https://github.com/sgrvinod/a-PyTorch-Tutorial-to-Text-Classification,249,Hierarchical Attention Networks | a PyTorch Tutorial to Text Classification,sgrvinod,Python,2020-06,MIT,tutorial
text-classification,Awesome-Text-Classification,fendouai/Awesome-Text-Classification,https://github.com/fendouai/Awesome-Text-Classification,175,"Awesome-Text-Classification Projects,Papers,Tutorial .",fendouai,,2017-11,Apache-2.0,awesome-list
text-classification,nlp_estimator_tutorial,eisenjulian/nlp_estimator_tutorial,https://github.com/eisenjulian/nlp_estimator_tutorial,135,Educational material on using the TensorFlow Estimator framework for text classification,eisenjulian,Jupyter Notebook,2019-01,MIT,tutorial
text-classification,Sentiment,RubixML/Sentiment,https://github.com/RubixML/Sentiment,117,"An example project using a feed-forward neural network for text sentiment classification trained with 25,000 movie reviews from the IMDB web",RubixML,PHP,2025-07,MIT,dataset
text-classification,overview-and-benchmark-of-traditional-and-deep-learning-models-in-text-classification,ahmedbesbes/overview-and-benchmark-of-traditional-and-deep-learning-models-in-text-classification,https://github.com/ahmedbesbes/overview-and-benchmark-of-traditional-and-deep-learning-models-in-text-classification,42,NLP tutorial,ahmedbesbes,Jupyter Notebook,2018-06,,dataset
text-classification,Python-for-Text-Classification,codingforentrepreneurs/Python-for-Text-Classification,https://github.com/codingforentrepreneurs/Python-for-Text-Classification,36,Python for Text Classification with Machine Learning in Python 3.6.,codingforentrepreneurs,Jupyter Notebook,2018-09,MIT,tutorial
text-classification,torchtext-tutorial,nn116003/torchtext-tutorial,https://github.com/nn116003/torchtext-tutorial,32,torchtext-tutorial (text classification),nn116003,Jupyter Notebook,2018-03,,tutorial
sentiment-analysis,pytorch-sentiment-analysis,bentrevett/pytorch-sentiment-analysis,https://github.com/bentrevett/pytorch-sentiment-analysis,4605,Tutorials on getting started with PyTorch and TorchText for sentiment analysis.,bentrevett,Jupyter Notebook,2024-03,MIT,tutorial
sentiment-analysis,Getting-Things-Done-with-Pytorch,curiousily/Getting-Things-Done-with-Pytorch,https://github.com/curiousily/Getting-Things-Done-with-Pytorch,2490,Jupyter Notebook tutorials on solving real-world problems with Machine Learning & Deep Learning using PyTorch. Topics: Face detection with D,curiousily,Jupyter Notebook,2024-06,Apache-2.0,tutorial
sentiment-analysis,Get-Things-Done-with-Prompt-Engineering-and-LangChain,curiousily/Get-Things-Done-with-Prompt-Engineering-and-LangChain,https://github.com/curiousily/Get-Things-Done-with-Prompt-Engineering-and-LangChain,1241,LangChain & Prompt Engineering tutorials on Large Language Models (LLMs) such as ChatGPT with custom data. Jupyter notebooks on loading and ,curiousily,Jupyter Notebook,2024-01,Apache-2.0,tutorial
sentiment-analysis,LSTM_RNN_Tutorials_with_Demo,omerbsezer/LSTM_RNN_Tutorials_with_Demo,https://github.com/omerbsezer/LSTM_RNN_Tutorials_with_Demo,861,"LSTM-RNN Tutorial with LSTM and RNN Tutorial with Demo with Demo Projects such as Stock/Bitcoin Time Series Prediction, Sentiment Analysis, ",omerbsezer,Python,2024-11,,tutorial
sentiment-analysis,word2vec-sentiments,linanqiu/word2vec-sentiments,https://github.com/linanqiu/word2vec-sentiments,683,"Tutorial for Sentiment Analysis using Doc2Vec in gensim (or ""getting 87% accuracy in sentiment analysis in under 100 lines of code"")",linanqiu,Jupyter Notebook,2019-03,,tutorial
sentiment-analysis,twitter-sentiment-analysis-tutorial-201107,jeffreybreen/twitter-sentiment-analysis-tutorial-201107,https://github.com/jeffreybreen/twitter-sentiment-analysis-tutorial-201107,418,Code to reproduce the simple sentiment analysis from my presentation,jeffreybreen,R,2022-08,NOASSERTION,tutorial
sentiment-analysis,pytorch-sentiment-analysis-classification,slaysd/pytorch-sentiment-analysis-classification,https://github.com/slaysd/pytorch-sentiment-analysis-classification,333,"A PyTorch Tutorials of Sentiment Analysis Classification  (RNN, LSTM, Bi-LSTM, LSTM+Attention, CNN)",slaysd,Jupyter Notebook,2023-04,MIT,dataset
named-entity-recognition,Named-Entity-Recognition,keitazoumana/Named-Entity-Recognition,https://github.com/keitazoumana/Named-Entity-Recognition,7,This is a tutorial about NER with traditional spaCy and spaCy transformers roBERTa,keitazoumana,Jupyter Notebook,2022-01,,tutorial
question-answering,Rust-tutorial,anujkumarthakur/Rust-tutorial,https://github.com/anujkumarthakur/Rust-tutorial,15,Introduction      Note: This edition of the book is the same as The Rust Programming Language available in print and ebook format from No St,anujkumarthakur,,2019-10,,tutorial
question-answering,Qwen2.5-VL-Finetuning,behroozazarkhalili/Qwen2.5-VL-Finetuning,https://github.com/behroozazarkhalili/Qwen2.5-VL-Finetuning,9,Fine-tuning Vision Language Model (Qwen2.5-VL-7B) with Hugging Face TRL - Tutorial and implementation for visual question-answering on Chart,behroozazarkhalili,Jupyter Notebook,2026-05,,dataset
translation-models,nmt,tensorflow/nmt,https://github.com/tensorflow/nmt,6464,TensorFlow Neural Machine Translation Tutorial,tensorflow,Python,2022-10,Apache-2.0,tutorial
translation-models,nmt-tips,neubig/nmt-tips,https://github.com/neubig/nmt-tips,369,A tutorial about neural machine translation including tips on building practical systems,neubig,Perl,2016-11,,tutorial
translation-models,OpenNMT-Tutorial,ymoslem/OpenNMT-Tutorial,https://github.com/ymoslem/OpenNMT-Tutorial,176,"Neural Machine Translation (NMT) tutorial. Data preprocessing, model training, evaluation, and deployment. ",ymoslem,Jupyter Notebook,2025-12,MIT,tutorial
translation-models,nmtpy,lium-lst/nmtpy,https://github.com/lium-lst/nmtpy,126,nmtpy is a Python framework based on dl4mt-tutorial to experiment with Neural Machine Translation pipelines.,lium-lst,Python,2018-03,NOASSERTION,tutorial
translation-models,nmt_tutorial,qlanners/nmt_tutorial,https://github.com/qlanners/nmt_tutorial,21,A tutorial on Neural Machine Translation using the Encoder Decoder architecture with attention.,qlanners,Jupyter Notebook,2021-01,,tutorial
translation-models,awesome-nmt,sanjibnarzary/awesome-nmt,https://github.com/sanjibnarzary/awesome-nmt,5,"A curated list of useful paper, tools, tutorials, data, conferences, journals for neural machine translation.",sanjibnarzary,,2017-07,,awesome-list
summarization,textrank_text_summarization,prateekjoshi565/textrank_text_summarization,https://github.com/prateekjoshi565/textrank_text_summarization,182,A tutorial for Automatic Text Summarization using TextRank algorithm.,prateekjoshi565,Jupyter Notebook,2018-11,,tutorial
summarization,Deep-Learning-for-NLP,snrazavi/Deep-Learning-for-NLP,https://github.com/snrazavi/Deep-Learning-for-NLP,31,Contains different course tutorials and jupyter notebook file for applying different Deep Learning models in different NLP tasks such as tex,snrazavi,Jupyter Notebook,2021-09,,tutorial
summarization,Summarizing_Text_Amazon_Reviews,Tony607/Summarizing_Text_Amazon_Reviews,https://github.com/Tony607/Summarizing_Text_Amazon_Reviews,25,[Tutorial] Summarizing Text with Amazon Reviews,Tony607,Jupyter Notebook,2017-10,,tutorial
summarization,NLP_with_Web_Scraping_Text_Mining_and_Classification,stef-aramp/NLP_with_Web_Scraping_Text_Mining_and_Classification,https://github.com/stef-aramp/NLP_with_Web_Scraping_Text_Mining_and_Classification,6,"Hey there, this is an all brand new project. I spent a period of time searching, reading some papers, watching some tutorials and finally co",stef-aramp,Jupyter Notebook,2017-12,,research
chatbots,OpenAI-Assistants-Template,pranavgupta2603/OpenAI-Assistants-Template,https://github.com/pranavgupta2603/OpenAI-Assistants-Template,98,Build and deploy AI-driven assistants with our OpenAI Assistants Template. This tutorial provides a hands-on approach to using OpenAI's Assi,pranavgupta2603,Jupyter Notebook,2023-11,MIT,tutorial
chatbots,awesome-openclaw,ZeroLu/awesome-openclaw,https://github.com/ZeroLu/awesome-openclaw,68,"A curated collection of OpenClaw tutorials, skills, and use cases. Learn how to build your personal AI assistant with 5400+ skills, multi-ag",ZeroLu,,2026-03,,awesome-list
chatbots,medical-chatbot,AIwithhassan/medical-chatbot,https://github.com/AIwithhassan/medical-chatbot,67," In this tutorial, learn to build a smart Medical Chatbot using open-source tools. We'll use HuggingFace for embeddings, Faiss CPU for vecto",AIwithhassan,Python,2025-07,,tutorial
chatbots,chatgpt-clone,kinsta/chatgpt-clone,https://github.com/kinsta/chatgpt-clone,25,"In this tutorial, you will learn how to build a ChatGPT clone application using React and the OpenAI API.",kinsta,JavaScript,2023-08,,tutorial
chatbots,Streamlit-Ollama-Chatbot,AIDevBytes/Streamlit-Ollama-Chatbot,https://github.com/AIDevBytes/Streamlit-Ollama-Chatbot,25,Build Your Own AI Chatbot with Streamlit and Ollama: A Step-by-Step Tutorial,AIDevBytes,Python,2024-05,MIT,tutorial
chatbots,AI-Chatbot-With-ChatGPT-API,sivamsinghsh/AI-Chatbot-With-ChatGPT-API,https://github.com/sivamsinghsh/AI-Chatbot-With-ChatGPT-API,11,"In this tutorial, we have added step-by-step instructions to build your own AI chatbot with ChatGPT API. From setting up tools to installing",sivamsinghsh,Python,2023-04,GPL-3.0,tutorial
chatbots,Creating-a-Chatbot,spydaz/Creating-a-Chatbot,https://github.com/spydaz/Creating-a-Chatbot,9,"NEW VERSION AVAILABLE : Basic Chat-Bot Design developed in 8 stages... From here you can design and build your own chat-bot, connect to exte",spydaz,Visual Basic .NET,2021-05,,tutorial
generative-ai,Generative-AI-Tutorial,pittisl/Generative-AI-Tutorial,https://github.com/pittisl/Generative-AI-Tutorial,92,A subjective learning guide for generative AI research,pittisl,,2024-08,MIT,research
generative-ai,ai-tutorials,microsoft-foundry/ai-tutorials,https://github.com/microsoft-foundry/ai-tutorials,77,This repo includes a collection of tutorials to help you get started with building Generative AI applications using Azure AI Foundry. Each t,microsoft-foundry,,2025-06,MIT,tutorial
